#,Kana,Kanji,Type,Definition/s
2284,（顔を~）,しわ,n,"wrinkles, creases"
2285,しん,芯,n,"core, heart, wick, marrow"
2286,~じん,~人,,~ person
2287,しんがく,進学,"n,vs",going on to university
2288,しんかんせん,新幹線,n,"bullet train (very high speed), shinkansen"
2289,しんくう,真空,"adj-na,n","vacuum, hollow, empty"
2290,しんけい,神経,n,"nerve, sensitivity"
2291,しんけん,真剣,"adj-na,n","seriousness, earnestness"
2292,しんこう,信仰,"n,vs","(religious) faith, belief, creed"
2293,しんごう,信号,"n,vs","traffic lights, signal, semaphore"
2294,じんこう,人工,n,"artificial, manmade, human work, human skill, artificiality"
2295,しんこく,深刻,"adj-na,n",serious
2296,しんさつ,診察,"n,vs",medical examination
2297,じんじ,人事,n,other's affairs
2298,じんじゃ,神社,n,Shinto shrine
2299,じんしゅ,人種,n,race (of people)
2300,しんじる,信じる,v1,"to believe, to place trust in"
2301,しんずる,信ずる,v5z,"to believe, to believe in, to place trust in"
2302,しんしん,心身,n,mind and body
2303,しんせい,申請,"n,vs","application, request, petition"
2304,じんせい,人生,n,(human) life (i.e. conception to death)
2305,しんせき,親戚,n,relative
2306,しんせつ,親切,"adj-na,n","kindness, gentleness"
2307,しんせん,新鮮,adj-na,fresh
2308,しんぞう,心臓,n,heart
2309,じんぞう,人造,n,"man-made, synthetic, artificial"
2310,しんたい,身体,n,the body
2311,しんだい,寝台,n,"bed, couch"
2312,しんだん,診断,"n,vs",diagnosis
2313,しんちょう,身長,n,"height (of body), stature"
2314,しんちょう,慎重,"adj-na,n","discretion, prudence"
2315,しんにゅう,侵入,"n,vs","penetration, invasion, raid, aggression, trespass"
2316,しんぱい,心配,"adj-na,n,vs","worry, concern, anxiety, care"
2317,しんぱん,審判,"n,vs","refereeing, trial, judgement, umpire, referee"
2318,じんぶつ,人物,n,"character, personality, person, man, personage, talented man"
2319,しんぶん,新聞,n,newspaper
2320,じんぶんかがく,人文科学,,"social sciences, humanities"
2321,しんぽ,進歩,"n,vs","progress, development"
2322,じんめい,人命,n,(human) life
2323,しんや,深夜,"n-adv,n-t",late at night
2324,しんゆう,親友,n,"close friend, buddy"
2325,しんよう,信用,"n,vs","confidence, dependence, credit, faith"
2326,しんらい,信頼,"n,vs","reliance, trust, confidence"
2327,しんり,心理,n,mentality
2328,しんりん,森林,n,"forest, woods"
2329,しんるい,親類,n,"relation, kin"
2330,じんるい,人類,n,"mankind, humanity"
2331,しんろ,針路,n,"course, direction, compass bearing"
2332,しんわ,神話,n,"myth, legend"
2333,す,巣,n,"nest, rookery, breeding place, beehive, cobweb"
2334,す,酢,n,vinegar
2335,ず,図,"n,n-suf","figure (e.g. Fig 1), drawing, picture, illustration"
2336,すいえい,水泳,"n,vs",swimming
2337,すいさん,水産,n,"marine products, fisheries"
2338,すいじ,炊事,n,"cooking, culinary arts"
2339,すいじゅん,水準,n,"(1) water level, (2) level, standard"
2340,すいじょうき,水蒸気,n,"water vapour, steam"
2341,すいせん,推薦,"n,vs",recommendation
2342,すいそ,水素,n,hydrogen
2343,すいちょく,垂直,"adj-na,n","vertical, perpendicular"
2344,スイッチ,,n,switch
2345,すいてい,推定,"n,vs","presumption, assumption, estimation"
2346,すいてき,水滴,n,drop of water
2347,すいとう,水筒,n,"canteen, flask, water bottle"
2348,すいどう,水道,n,"water service, water supply"
2349,ずいひつ,随筆,n,"essays, miscellaneous writings"
2350,すいぶん,水分,n,moisture
2351,ずいぶん,随分,"adj-na,n-adv",extremely
2352,すいへい,水平,"adj-na,n","water level, horizon"
2353,すいへいせん,水平線,n,horizon
2354,すいみん,睡眠,n,sleep
2355,すいめん,水面,n,water's surface
2356,すいよう,水曜,"n-adv,n",Wednesday
2357,すう,吸う,v5u,"to smoke, to breathe in, to suck"
2358,すう,数,"n,n-suf","number, figure"
2359,すうがく,数学,n,"mathematics, arithmetic"
2360,すうじ,数字,n,"numeral, figure"
2361,ずうずうしい,,adj,"impudent, shameless"
2362,スーツ,,n,suit
2363,スーツケース,,n,suitcase
2364,ずうっと,,,
2365,スーパー,,n,"(1) super, (2) supermarket (abbr)"
2366,スープ,,n,(Western) soup
2367,すえ,末,"n-adv,n","the end of, powder"
2368,すえっこ,末っ子,n,youngest child
2369,すがた,姿,n,"figure, shape, appearance"
2370,スカート,,n,skirt
2371,スカーフ,,n,scarf
2372,ずかん,図鑑,n,picture book
2373,すき,好き,"adj-na,n","liking, fondness, love"
2374,すき,隙,n,"(1) chance or opportunity, chink (in one's armor), (2) interval, gap"
2375,すぎ,杉,n,Japanese cedar
2376,~すぎ,~過ぎ,,
2377,スキー,,n,skiing
2378,すききらい,好き嫌い,n,"likes and dislikes, taste"
2379,すきずき,好き好き,n,matter of taste
2380,すきとおる,透き通る,v5r,to be(come) transparent
2381,すきま,隙間,n,"crevice, crack, gap, opening"
2382,すぎる,過ぎる,"v1,vi","to pass, to go beyond, to elapse, to exceed"
2383,~すぎる,~過ぎる,,
2384,すく,空く,"v5k,vi","(1) to open, to become empty, (2) to be less crowded"
2385,すぐに,,adv,instantly
2386,すくう,救う,v5u,"to rescue from, to help out of"
2387,スクール,,n,school
2388,すくない,少ない,adj,"few, a little, scarce, insufficient, seldom"
2389,すくなくとも,,adv,at least
2390,すぐれる,優れる,v1,"to surpass, to outstrip, to excel"
2391,ずけい,図形,n,figure
2392,スケート,,"n,vs","skate(s), skating"
2393,スケジュール,,n,schedule
2394,すごい,,adj,"terrible, dreadful, terrific, amazing, great"
2395,すこし,少し,"adv,n","(1) small quantity, little, (2) little while, (3) short distance"
2396,すこしも,少しも,"adv,exp","anything of, not one bit"
2397,すごす,過ごす,"v5s,vt","to pass, to spend, to go through, to tide over"
2398,すじ,筋,n,"muscle, string, line"
2399,すず,鈴,n,bell
2400,すずしい,涼しい,adj,"cool, refreshing"
2401,すすむ,進む,"v5m,vi","to make progress, to advance, to improve"
2402,すずむ,涼む,v5m,"to cool oneself, to cool off, to enjoy evening cool"
2403,すすめる,進める,"v1,vt","to advance, to promote, to hasten"
2404,すすめる,勧める,v1,"to recommend, to advise, to encourage, to offer (wine)"
2405,スター,,n,star
2406,スタート,,n,start
2407,スタイル,,n,style
2408,スタンド,,n,stand
2409,スチュワーデス,,n,stewardess
2410,~ずつ,,,
2411,ずつう,頭痛,n,headache
2412,すっかり,,adv,"all, completely, thoroughly"
2413,すっきり,,"adv,n","shapely, clear, neat"
2414,すっと,,"adv,n","straight, quickly, directly"
2415,ずっと,,adv,"consecutively, throughout, a lot"
2416,すっぱい,,adj,"sour, acid"
2417,ステージ,,n,"(1) stage, (2) performance"
2418,すてき,,"adj-na,n","lovely, dreamy, beautiful, great"
2419,すでに,既に,adv,"already, too late"
2420,すてる,捨てる,v1,"to throw away, to cast aside, to abandon, to resign"
2421,すてる,棄てる,,
2422,ステレオ,,n,stereo
2423,ストッキング,,n,stockings
2424,ストップ,,n,stop
2425,すな,砂,n,"sand, grit"
2426,すなお,素直,"adj-na,n","obedient, meek, docile, unaffected"
2427,すなわち,,"adv,conj","that is, namely, i.e."
2428,ずのう,頭脳,n,"head, brains, intellect"
2429,すばらしい,素晴らしい,adj,"wonderful, splendid, magnificent"
2430,スピーカー,,n,speaker
2431,スピーチ,,n,speech
2432,ずひょう,図表,n,"chart, diagram, graph"
2433,スプーン,,n,spoon
2434,すべて,全て,"adj-no,n-adv,n","all, the whole, entirely, in general, wholly"
2435,すべる,滑る,v5r,"to glide, to slide, to slip"
2436,スポーツ,,n,sport
2437,スマート,,"adj-na,n","smart, stylish, slim"
2438,すまい,住まい,n,"dwelling, house, residence, address"
2439,すませる,済ませる,v1,to be finished
2440,すまない,,"adj,exp",sorry (phrase)
2441,すみ,隅,"n,n-suf","corner, nook"
2442,すみ,角,n,horn
2443,すみ,墨,n,ink
2444,~ずみ,~済,,
2445,（感）,すみません,"exp,int","sorry, excuse me"
2446,すむ,住む,v5m,"to abide, to reside, to live in, to inhabit, to dwell"
2447,すむ,澄む,v5m,"to clear (e.g. weather), to become transparent"
2448,すむ,清む,,
2449,すむ,済む,v5m,"to finish, to end, to be completed"
2450,すもう,相撲,n,sumo wrestling
2451,スライド,,n,slide
2452,ずらす,,v5s,"to put off, to delay"
2453,ずらり,,,
2454,すり,掏摸,n,pickpocket
2455,スリッパ,,n,slippers
2456,する,刷る,v5r,to print
2457,する,為る,v5r,"to change, to be of use, to reach to"
2458,ずるい,狡い,adj,"sly, cunning"
2459,すると,すると,conj,"thereupon, hereupon"
2460,するどい,鋭い,adj,"pointed, sharp"
2461,すれちがう,,v5u,"to pass by one another, to disagree"
2462,ずれる,滑れる,,
2463,すわる,座る,v5r,to sit
2464,すんぽう,寸法,n,"measurement, size, dimension"
2465,せ,背,n,"height, stature"
2466,せい,背,n,"height, stature"
2467,せい,正,n,"(logical) true, regular"
2468,せい,生,"adj-na,adj-no,n","(1) draft (beer), (2) raw, unprocessed"
2469,せい,性,"n,n-suf","sex, gender"
2470,せい,姓,n,"surname, family name"
2471,せい,所為,n,"cause, reason, fault"
2472,~せい,~製,,
2473,~せい,~性,,
2474,ぜい,税,,
2475,せいかく,性格,n,"character, personality"
2476,せいかく,正確,"adj-na,n","accurate, punctuality, exactness, authenticity, veracity"
2477,せいかつ,生活,"n,vs","living, life (one's daily existence), livelihood"
2478,ぜいかん,税関,n,customs house
2479,せいき,世紀,n,"century, era"
2480,せいきゅう,請求,"n,vs","claim, demand, application, request"
2481,ぜいきん,税金,n,"tax, duty"
2482,せいけつ,清潔,"adj-na,n",clean
2483,せいげん,制限,"n,vs","restriction, restraint, limitation"
2484,せいこう,成功,"n,vs","success, hit"
2485,せいさく,製作,"n,vs","manufacture, production"
2486,せいさく,制作,"n,vs","work (film, book)"
2487,せいさん,生産,"n,vs","production, manufacture"
2488,せいじ,政治,n,"politics, government"
2489,せいしき,正式,"adj-na,n","due form, official, formality"
2490,せいしつ,性質,n,"nature, property, disposition"
2491,せいしょ,清書,n,clean copy
2492,せいしょうねん,青少年,n,"youth, young person"
2493,せいしん,精神,n,"mind, soul, heart, spirit, intention"
2494,せいじん,成人,n,adult
2495,せいすう,整数,n,integer
2496,せいぜい,精々,adv,"at the most, at best, to the utmost, as much (far) as possible"
2497,せいせき,成績,n,"results, record"
2498,せいそう,清掃,"n,vs",cleaning
2499,せいぞう,製造,"n,vs","manufacture, production"
2500,せいぞん,生存,n,"existence, being, survival"
2501,ぜいたく,贅沢,"adj-na,n","luxury, extravagance"
2502,せいちょう,成長,"n,vs","growth, grow to adulthood"
2503,せいちょう,生長,n,"growth, increment"
2504,せいと,生徒,n,pupil
2505,せいど,制度,n,"system, institution, organization"
2506,せいとう,政党,n,(member of) political party
2507,せいねん,青年,n,"youth, young man"
2508,せいねんがっぴ,生年月日,n,birth date
2509,せいのう,性能,n,"ability, efficiency"
2510,せいび,整備,"n,vs","adjustment, completion, consolidation"
2511,せいひん,製品,n,"manufactured goods, finished goods"
2512,せいふ,政府,n,"government, administration"
2513,せいぶつ,生物,n,raw food
2514,せいぶん,成分,n,"ingredient, component, composition"
2515,せいべつ,性別,n,"distinction by sex, sex, gender"
2516,せいほうけい,正方形,n,square
2517,せいめい,生命,n,"life, existence"
2518,せいもん,正門,n,"main gate, main entrance"
2519,せいよう,西洋,n,"the west, Western countries"
2520,せいり,整理,"n,vs","sorting, arrangement, adjustment, regulation"
2521,せいりつ,成立,"n,vs","coming into existence, arrangements, establishment, completion"
2522,せいれき,西暦,n,"Christian Era, anno domini (A.D.)"
2523,セーター,,n,"sweater, jumper"
2524,せおう,背負う,v5u,"to be burdened with, to carry on back or shoulder"
2525,せかい,世界,n,"the world, society, the universe"
2526,せき,席,n,seat
2527,せき,咳,n,cough
2528,~せき,~隻,,
2529,せきたん,石炭,n,coal
2530,せきどう,赤道,n,equator
2531,せきにん,責任,n,"duty, responsibility"
2532,せきゆ,石油,n,"oil, petroleum, kerosene"
2533,せけん,世間,n,"world, society"
2534,せつ,説,"n,n-suf",theory
2535,せっかく,折角,"adv,n","with trouble, at great pains, long-awaited"
2536,せっきょくてき,積極的,adj-na,"positive, active, proactive"
2537,せっきん,接近,"n,vs","getting closer, drawing nearer, approaching"
2538,せっけい,設計,"n,vs","plan, design"
2539,せっけん,石鹸,n,soap
2540,せっする,接する,vs-s,"to come in contact with, to connect, to attend, to receive"
2541,せっせと,,,
2542,せつぞく,接続,"n,vs","(1) connection, union, join, link, (2) changing trains"
2543,ぜったい,絶対,"adj-na,n-adv,n","absolute, unconditional, absoluteness"
2544,セット,,n,set
2545,せつび,設備,"n,vs","equipment, device, facilities, installation"
2546,せつめい,説明,"n,vs","explanation, exposition"
2547,ぜつめつ,絶滅,n,"destruction, extinction"
2548,せつやく,節約,"n,vs","economising, saving"
2549,せともの,瀬戸物,n,"earthenware, crockery, china"
2550,せなか,背中,n,back (of body)
2551,ぜひ,是非,"adv,n","certainly, without fail"
2552,ぜひとも,,adv,"by all means (with sense of not taking ""no"" for an answer)"
2553,せびろ,背広,n,business suit
2554,せまい,狭い,adj,"narrow, confined, small"
2555,せまる,迫る,v5r,"to draw near, to press"
2556,ゼミ,,de:,(n) seminar
2557,せめて,,n,"offense, method of attack"
2558,せめる,攻める,v1,"to attack, to assault"
2559,せめる,責める,v1,"to condemn, to blame, to criticize"
2560,セメント,,n,cement
2561,せりふ,台詞,n,"speech, words, one's lines, remarks"
2562,ゼロ,,n,zero
2563,せわ,世話,"n,vs","looking after, help, aid, assistance"
2564,せん,千,,"thousand, many"
2565,せん,栓,n,"stopper, cork, stopcock"
2566,せん,線,"n,n-suf","line (also telephone, railway), wire, beam"
2567,~せん,~船,,
2568,~せん,~戦,,
2569,ぜん,善,n,"good, goodness, right, virtue"
2570,ぜん,全,"n,pref","all, whole, entire, complete, overall, pan"
2571,ぜん~,前~,,
2572,~ぜん,~前,,
2573,ぜんいん,全員,"n-adv,n","all members (unanimity), all hands, the whole crew"
2574,ぜんご,前後,"n-adv,suf","around, throughout, front and back, before and behind, before and after"
2575,せんこう,専攻,"n,vs","major subject, special study"
2576,ぜんこく,全国,n,"country-wide, nation-wide, whole country, national"
2577,せんざい,洗剤,n,"detergent, washing material"
2578,せんじつ,先日,"n-adv,n-t","the other day, a few days ago"
2579,ぜんしゃ,前者,n,the former
2580,せんしゅ,選手,n,"(1) player (in game), (2) team"
2581,ぜんしゅう,全集,n,complete works
2582,ぜんしん,全身,n,"the whole body, full-length (portrait)"
2583,ぜんしん,前進,n,"advance, drive, progress"
2584,せんす,扇子,n,folding fan
2585,せんせい,先生,n,"teacher, master, doctor"
2586,せんせい,専制,n,"despotism, autocracy"
2587,ぜんぜん,全然,adv,"(1) wholly, entirely, completely, (2) not at all (with neg. verb)"
2588,せんせんげつ,先々月,n-t,month before last
2589,せんせんしゅう,先々週,,
2590,せんぞ,先祖,n,ancestor
2591,せんそう,戦争,"n,vs",war
2592,センター,,n,a center
2593,ぜんたい,全体,"n-adv,n-t","whole, entirety, whatever (is the matter)"
2594,せんたく,洗濯,"n,vs","washing, laundry"
2595,せんたく,選択,"n,vs","selection, choice"
2596,せんたん,先端,n,"pointed end, tip, fine point"
2597,センチ,,"adj-na,n","centimeter, centi-, 10^-2"
2598,せんでん,宣伝,"n,vs","propaganda, publicity"
2599,せんとう,先頭,n,"head, lead, vanguard, first"
2600,せんぱい,先輩,n,"senior (at work or school), superior, elder"
2601,ぜんぱん,全般,"adj-no,n","(the) whole, universal, wholly, general"
2602,ぜんぶ,全部,"n-adv,n-t","all, entire, whole, altogether"
2603,せんぷうき,扇風機,n,electric fan
2604,せんめん,洗面,"n,vs","wash up (one's face), have a wash"
2605,せんもん,専門,n,"speciality, subject of study, expert"
2606,ぜんりょく,全力,n,"all one's power, whole energy"
2607,せんろ,線路,n,"line, track, roadbed"
2608,~そい,~沿い,,
2609,そう,そう,,so
2610,そう~,総~,,
2611,~そう,~艘,,
2612,ぞう,象,n,elephant
2613,そうい,相違,"n,vs","difference, discrepancy, variation"
2614,そういえば,,exp,which reminds me ..
2615,そうおん,騒音,n,noise
2616,ぞうか,増加,"n,vs","increase, addition"
2617,ぞうきん,雑巾,n,"house-cloth, dust cloth"
2618,ぞうげん,増減,"n,vs","increase and decrease, fluctuation"
2619,そうこ,倉庫,n,"storehouse, warehouse, godown"
2620,そうご,相互,n,"mutual, reciprocal"
2621,そうさ,操作,"n,vs","operation, management, processing"
2622,そうさく,創作,n,"production, literary creation, work"
2623,そうじ,掃除,"n,vs","cleaning, sweeping"
2624,そうしき,葬式,n,funeral
2625,そうして,,conj,"and, like that"
2626,ぞうせん,造船,n,shipbuilding
2627,そうぞう,想像,"n,vs","imagination, guess"
2628,そうぞうしい,騒々しい,adj,"noisy, boisterous"
2629,そうぞく,相続,n,"succession, inheritance"
2630,ぞうだい,増大,"n,vs",enlargement
2631,そうだん,相談,"n,vs","consultation, discussion"
2632,そうち,装置,"n,vs","equipment, installation, apparatus"
2633,そうっと,,,
2634,そうとう,相当,"adj-na,n-adv","suitable, fair, tolerable, proper"
2635,そうべつ,送別,n,"farewell, send-off"
2636,ぞうり,草履,n,"zoori (Japanese footwear), sandals"
2637,そうりだいじん,総理大臣,,Prime Minister
2638,そうりょう,送料,n,"postage, carriage"
2639,~そく,~足,,
2640,ぞくする,属する,vs-s,"to belong to, to come under, to be affiliated with, to be subject to"
2641,ぞくぞく,続々,n-adv,"successively, one after another"
2642,そくたつ,速達,n,"express, special delivery"
2643,そくてい,測定,"n,vs",measurement
2644,そくど,速度,n,"speed, velocity, rate"
2645,そくりょう,測量,"n,vs","measurement, surveying"
2646,そくりょく,速力,n,speed
2647,そこ,そこ,n,"bottom, sole"
2648,そこ,底,n,"bottom, sole"
2649,そこで,,conj,"so (conj), accordingly, now, then, thereupon"
2650,そしき,組織,"n,vs","(1) organization, (2) structure, construction, (3) tissue, (4) system"
2651,そしつ,素質,n,"character, qualities, genius"
2652,そして,,conj,and
2653,そせん,祖先,n,ancestor
2654,そそぐ,注ぐ,v5g,"to pour (into), to irrigate, to pay, to fill, to feed (e.g. a fire)"
2655,そそっかしい,,adj,"careless, thoughtless"
2656,そだつ,育つ,"v5t,vi","to raise (child), to be brought up, to grow (up)"
2657,そだてる,育てる,"v1,vt","to raise, to rear, to bring up"
2658,そちら,,n,"over there, the other"
2659,そっち,,n,"your (that) place, the other"
2660,そつぎょう,卒業,"n,vs",graduation
2661,そっくり,,"adj-na,adv,n","all, altogether, entirely, be just like, the splitting image of"
2662,そっちょく,卒直,"adj-na,n","frankness, candour, openheartedness"
2663,そっと,,n,face of the earth
2664,そで,袖,n,sleeve
2665,そと,外,n,"other place, the rest"
2666,そなえる,備える,v1,"to furnish, to provide for, to equip, to install"
2667,そなえる,具える,v1,to be furnished with
2668,その,その,adj-pn,"the, that"
2669,そのうえ,,conj,"in addition, furthermore"
2670,そのうち,,adv,"eventually, sooner or later, of the previously mentioned"
2671,そのころ,,,
2672,そのため,,,"hence, for that reason"
2673,そのほか,,"conj,n",otherwise
2674,そのまま,,adj-no,"without change, as it is (i.e. now)"
2675,そば,側,n,"side, edge, third person"
2676,そば,蕎麦,n,soba (buckwheat noodles)
2677,そふ,祖父,n,grandfather
2678,ソファー,,n,"sofa, couch"
2679,そぼ,祖母,n,grandmother
2680,そまつ,粗末,"adj-na,n","crude, rough, plain, humble"
2681,そら,空,n,sky
2682,そる,剃る,v5r,to shave
2683,（接。感）,それ,n,"it, that"
2684,それから,,uk,"and then, after that"
2685,それぞれ,,,"each, every, either, respectively, severally"
2686,それで,,uk,"and (conj), thereupon, because of that"
2687,それでは,,exp,"in that situation, well then..."
2688,それでも,,uk,"but (still), and yet, nevertheless, even so, notwithstanding"
2689,それと,,,
2690,それとも,,conj,"or, or else"
2691,それなのに,,,
2692,それなら,,uk,"If that's the case..., If so..., That being the case..."
2693,それに,,uk,"besides, moreover"
2694,それほど,,adv,"to that degree, extent"
2695,それる,逸れる,v1,"to stray (turn) from subject, to get lost, to go astray"
2696,そろう,揃う,v5u,"to become complete, to be equal, to be all present, to gather"
2697,そろえる,揃える,v1,"to put things in order, to arrange, to make uniform, to get something ready"
2698,そろそろ,,n,"gradually, steadily, quietly, slowly, soon"
2699,そろばん,算盤,n,abacus
2700,そん,損,"adj-na,n,n-suf,vs","loss, disadvantage"
2701,そんがい,損害,n,"damage, injury, loss"
2702,そんけい,尊敬,"n,vs","respect, esteem, reverence, honour"
2703,そんざい,存在,"n,vs","existence, being"
2704,ぞんじる,存じる,v1,(hum) to know
2705,ぞんずる,存ずる,,
2706,そんちょう,尊重,n,"respect, esteem, regard"
2707,そんとく,損得,n,"loss and gain, advantage and disadvantage"
2708,そんな,,"adj-na,adj-pn,adv,n","such, like that, that sort of"
2709,そんなに,,,
2710,た,田,n,rice field
2711,たんぼ,田ぼ,n,"paddy field, farm"
2712,た,他,"n-adv,n",other (esp. places and things)
2713,たい,対,n,"pair, couple, set"
2714,だい,大,,
2715,だい,台,"n,n-suf","stand, rack, table, support"
2716,だい,題,"n,vs","title, subject, theme, topic"
2717,だい~,第~,,
2718,~だい,~代,,
2719,たいいく,体育,n,"physical education, gymnastics, athletics"
2720,（副）,だいいち,"adv,n","first, foremost, # 1"
2721,たいいん,退院,"n,vs",leaving hospital
2722,たいおん,体温,n,temperature (body)
2723,たいかい,大会,n,"convention, tournament, mass meeting, rally"
2724,だいがく,大学,n,university
2725,だいがくいん,大学院,n,graduate school
2726,たいき,大気,n,atmosphere
2727,だいきん,代金,n,"price, payment, cost, charge"
2728,だいく,大工,n,carpenter
2729,たいくつ,退屈,"adj-na,n,vs","tedium, boredom"
2730,たいけい,体系,n,"system, organization"
2731,たいこ,太鼓,n,"drum, tambourine"
2732,たいざい,滞在,"n,vs","stay, sojourn"
2733,たいさく,対策,n,"counter-plan, counter-measure"
2734,たいし,大使,n,ambassador
2735,だいじ,大事,"adj-na,n","important, valuable, serious matter"
2736,たいした,大した,adj-pn,"considerable, great, important, significant, a big deal"
2737,たいして,大して,adv,"(not so) much, (not) very"
2738,たいじゅう,体重,n,one's body weight
2739,たいしょう,対象,n,"target, object (of worship, study, etc), subject (of taxation, etc)"
2740,たいしょう,対照,n,"contrast, antithesis, comparison"
2741,だいしょう,大小,n,size
2742,だいじょうぶ,大丈夫,"adj-na,adv,n","safe, all right, O.K."
2743,だいじん,大臣,n,cabinet minister
2744,たいする,対する,vs-s,"to face, to confront, to oppose"
2745,たいせい,体制,n,"order, system, structure, set-up, organization"
2746,たいせき,体積,n,"capacity, volume"
2747,たいせつ,大切,"adj-na,n",important
2748,たいせん,大戦,n,"great war, great battle"
2749,たいそう,大層,"adj-na,adv,n","very much, exaggerated, very fine"
2750,たいそう,体操,"n,vs","gymnastics, physical exercises, calisthenics"
2751,だいたい,大体,"n-adv,n-t","general, substantially, outline, main point"
2752,たいてい,大抵,"adj-na,adv,n","usually, generally"
2753,たいど,態度,n,"attitude, manner"
2754,だいとうりょう,大統領,n,"president, chief executive"
2755,だいどころ,台所,n,kitchen
2756,たいはん,大半,n,"majority, mostly, generally"
2757,だいひょう,代表,"n,vs","representative, representation, delegation, type, example, model"
2758,タイプ,,n,"type, style, typing"
2759,だいぶ,大分,adv,"considerably, greatly, a lot"
2760,だいぶん,大分,adv,"considerably, greatly, a lot"
2761,たいふう,台風,n,typhoon
2762,だいぶぶん,大部分,n-t,"most part, greater part, majority"
2763,タイプライター,,n,typewriter
2764,たいへん,大変,"adj-na,adv,n","awful, dreadful, terrible, very"
2765,たいほ,逮捕,"n,vs","arrest, apprehension, capture"
2766,たいぼく,大木,n,large tree
2767,だいめい,題名,n,title
2768,だいめいし,代名詞,n,pronoun
2769,タイア,,,"tire, tyre"
2770,ダイヤ,,n,"(1) dyer, (2) diagram, (3) (railway) schedule, (4) diamond"
2771,ダイヤグラム,,n,diagram
2772,ダイヤモンド,,n,diamond
2773,ダイヤル,,n,dial
2774,たいよう,太陽,n,"sun, solar"
2775,たいら,平ら,"adj-na,n","flatness, level, smooth, calm, plain"
2776,だいり,代理,n,"representation, agency, proxy, deputy, agent"
2777,たいりく,大陸,n,continent
2778,たいりつ,Ͼ立,n,"confrontation, opposition, antagonism"
2779,たうえ,田植え,n,rice planting
2780,たえず,絶えず,adv,constantly
2781,だえん,楕円,n,ellipse
2782,たおす,倒す,"v5s,vt","to throw down, to beat, to bring down, to blow down"
2783,タオル,,n,(hand) towel
2784,たおれる,倒れる,"v1,vi","to collapse, to break down, to go bankrupt, to fall"
2785,だが,だが,,
2786,たかい,高い,adj,"tall, high, expensive"
2787,たがい,互い,n,"mutual, reciprocal"
2788,たかめる,高める,v1,"to raise, to lift, to boost"
2789,たがやす,耕す,v5s,"to till, to plow, to cultivate"
2790,たから,宝,n,treasure
2791,だから,だから,"conj,n","so, therefore"
2792,たき,滝,n,waterfall
2793,たく,宅,n,"house, home, husband"
2794,たく,炊く,v5k,"to boil, to cook"
2795,たく,焚く,v5k,"to burn, to kindle, to build a fire"
2796,だく,抱く,v5k,"(sl) to embrace, to hug, to harbour, to entertain, `to sleep with'"
2797,たくさん,,"adj-na,adv,n","many, a lot, much"
2798,タクシー,,n,taxi
2799,たくわえる,蓄える,v1,"to store, to lay in stock"
2800,たけ,竹,n,"bamboo, middle (of a three-tier ranking system)"
2801,だけど,,conj,however
2802,（~３年前だった）,たしか,"adj-na,adv,exp,n","certain, sure, definite, if I'm not mistaken, if I remember correctly"
2803,たしか,確か,"adj-na,adv,exp,n","certain, sure, definite, if I remember correctly"
2804,たしかめる,確かめる,v1,to ascertain
2805,たしょう,多少,"adj-no,adv,n","more or less, somewhat, a little, some"
2806,たす,足す,v5s,"to add (numbers), to do (e.g. one's business)"
2807,だす,出す,v5s,"to put out, to send"
2808,~だす,,,
2809,たすかる,助かる,v5r,"to be saved, to be rescued, to survive, to be helpful"
2810,たすける,助ける,v1,"to help, to save, to rescue"
2811,たずねる,訪ねる,v1,to visit
2812,たずねる,尋ねる,v1,"to ask, to enquire"
2813,ただ,,"adj-pn,adv,conj","free of charge, mere, only"
2814,ただ,只,"adj-pn,adv,conj","free of charge, mere, sole, only, usual, common"
2815,ただ,唯,"adj-pn,adv,conj","free of charge, mere, sole, only, usual, common"
2816,ただいま,,"adv,int,n","Here I am, I'm home!"
2817,たたかい,戦い,n,"battle, fight, struggle, conflict"
2818,たたかう,戦う,v5u,"to fight, to battle, to combat"
2819,たたく,叩く,v5k,"to strike, to clap, to dust, to beat"
2820,ただし,但し,conj,"but, however, provided that"
2821,ただしい,正しい,adj,"right, just, correct"
2822,ただちに,直ちに,adv,"at once, immediately, directly, in person"
2823,たたみ,畳,n,tatami mat (Japanese straw floor coverings)
2824,たたむ,畳む,v5m,to fold (clothes)
2825,~たち,,,
2826,たちあがる,立ち上がる,v5r,to stand up
2827,たちどまる,立ち止まる,v5r,"to stop, to halt, to stand still"
2828,たちば,立場,n,"standpoint, position, situation"
2829,たちまち,,adv,"at once, in a moment, suddenly, all at once"
2830,たつ,立つ,v5t,to stand
2831,たつ,建つ,v5t,"to erect, to be erected, to be built"
2832,たつ,発つ,v5t,"to depart (on a plane, train, etc.)"
2833,たつ,経つ,v5t,"to pass, to lapse"
2834,たっする,達する,vs-s,"to reach, to get to"
2835,だっせん,脱線,"n,vs","derailment, digression"
2836,たった,唯,"adj-pn,adv,conj","free of charge, mere, sole, only, usual, common"
2837,だって,,conj,"but, because, even, also, too"
2838,たっぷり,,"adj-na,adv,n","full, in plenty, ample"
2839,たて,縦,n,"length, height"
2840,たてもの,建物,n,building
2841,たてる,立てる,v1,"to stand (something) up, to erect (something)"
2842,たてる,建てる,v1,"to build, to construct"
2843,だとう,妥当,"adj-na,n","valid, proper, right, appropriate"
2844,たとえ,,n,"simile, metaphor, allegory"
2845,たとえば,例えば,adv,"for example, e.g."
